PI836,*C1CC2CC1C(*)C2CCCCCC,0.000261321169
PI837,*CC(*)(C)c1ccc2ccccc2c1,0.0001861411249999
PI838,*CCC(c1ccccc1)C(*)c1ccccc1,0.000202492274
PI840,*/C(Cl)=C(/*)c1ccccc1,0.000185906754
PI841,*/C=C(/*)c1ccc(C#C)cc1,0.000298685003
PI842,*/C=C(/*)c1cccc(C#C)c1,0.000274746743
PI843,*/C=C/C(C(=O)OCc1ccc(Cl)cc1)C(*)C(=O)OCc1ccc(Cl)cc1,0.000171830845
PI844,*/C=C(/*)c1ccc(-c2ccc(C#C)cc2)cc1,0.000264801989
PI845,*CC(*)C(=O)OCC(C)O,0.000280976264
PI846,*CC(*)(CC(=O)OCCCCCCCC)C(=O)OCCCCCCCC,0.000275383563
PI847,*CC(*)(CC(=O)OCCCCCCCCC)C(=O)OCCCCCCCCC,0.00027657995
PI848,*CC(*)C(=O)n1c2ccccc2c2ccccc21,0.000185889246
PI849,*CC(*)C(=O)OC(OCC)C(F)(F)F,0.000183494514
PI850,*CC(*)(C)C(=O)OC(OCC)C(F)(F)F,0.000158540956
PI851,*CC(*)(CC(=O)Oc1ccc(OCCCCCCC)cc1)C(=O)Oc1ccc(OCCCCCCC)cc1,0.000278660635
PI852,*CC(*)(C)C(=O)Oc1c(C)cccc1C,0.000211223838
PI853,*CC(*)(C)C(=O)OCCCCCCN(C)c1ccc(/N=N/c2ccc(S(C)(=O)=O)cc2)cc1,0.0002398014159999
PI854,*C([2H])([2H])C(*)(C(=O)OC([2H])([2H])[2H])C([2H])([2H])[2H],0.000200554319
PI855,*C(*)C(=O)OC(C)C,0.000218613254
PI856,*CC(*)(C)C(=O)Oc1c(C(C)C)cccc1C(C)C,0.000201358713
PI857,*CC(*)(C)C(=O)OCC(=O)c1ccccc1,0.000206062145
PI858,*CC(*)(C)C(=O)OCc1ccc(Cl)c(Cl)c1,0.000142399015
PI859,*CC(*)(C)C(=O)OCc1cccc(Cl)c1,0.000156695253
PI860,*CC(*)(C)C(=O)OCc1ccc(Cl)cc1,0.000167641229
PI861,*CC(*)(C)C(=O)OCc1cccc(Cl)c1Cl,0.00014256689
PI862,*CC(*)(C)C(=O)OCc1ccc(Cl)cc1Cl,0.000134920498
PI863,*CC(*)(C)C(=O)OCc1cc(Cl)ccc1Cl,0.000138323775
PI864,*CC(*)(C)C(=O)OCc1c(Cl)cccc1Cl,0.000140187539
PI865,*CC(*)(C)C(=O)OCc1cc(Cl)cc(Cl)c1,0.000129715026
PI866,*/C=C(/*)C(C)(C)C,0.000284244599
PI867,*C1C(*)C2CC1C1C=CCC12,0.0001614584759999
PI868,*/C(C)=C(/*)C(C)C,0.000320934176
PI869,*OC1C(CO)OC(*)C(O)C1O,0.000321583167
PI870,*Oc1cc(C)c(*)c(C)c1Br,0.000179808547
PI871,*CCC(C)CO*,0.0002316499019999
PI872,*Oc1ccc2[nH]c(-c3ccc4c(c3)-c3cc(-c5nc6cc(*)ccc6[nH]5)ccc3S4(=O)=O)nc2c1,0.000242108846
PI873,*C1Oc2ccccc2C1*,0.000154427579
